fmun;ano;mes;regiao;roubo_veiculo;furto_veiculos;trafico_drogas;recuperacao_veiculos
Porciúncula;2014;3;Interior;0;0;3;0
Porto Real;2014;3;Interior;0;1;7;4
Quatis;2014;3;Interior;0;0;0;0
Queimados;2014;3;Baixada Fluminense;16;12;6;9
Quissamã;2014;3;Interior;3;1;0;4
Resende;2014;3;Interior;0;6;11;4
Rio Bonito;2014;3;Interior;5;4;7;4
Rio Claro;2014;3;Interior;0;0;0;0
Rio das Flores;2014;3;Interior;0;0;0;0
Rio das Ostras;2014;3;Interior;14;28;6;11
Rio de Janeiro;2014;3;Capital;1225;716;310;1083
Santa Maria Madalena;2014;3;Interior;1;0;0;1
Santo Antônio de Pádua;2014;3;Interior;1;3;7;3
São Francisco de Itabapoana;2014;3;Interior;1;8;3;6
São Fidélis;2014;3;Interior;2;5;9;2
São Gonçalo;2014;3;Grande Niterói;345;89;71;295
São João da Barra;2014;3;Interior;5;6;1;4
São João de Meriti;2014;3;Baixada Fluminense;184;46;17;117
São José de Ubá;2014;3;Interior;0;0;0;0
São José do Vale do Rio Preto;2014;3;Interior;1;1;2;3
São Pedro da Aldeia;2014;3;Interior;8;12;3;14
São Sebastião do Alto;2014;3;Interior;1;1;0;0
Sapucaia;2014;3;Interior;0;1;2;0
Saquarema;2014;3;Interior;5;8;3;3
Seropédica;2014;3;Baixada Fluminense;7;4;13;6
Silva Jardim;2014;3;Interior;3;0;0;1
Sumidouro;2014;3;Interior;0;1;0;1
Tanguá;2014;3;Interior;11;4;0;3
Teresópolis;2014;3;Interior;0;10;13;6
Trajano de Moraes;2014;3;Interior;0;0;0;1
Três Rios;2014;3;Interior;0;2;10;2
Valença;2014;3;Interior;1;2;6;1
Varre-Sai;2014;3;Interior;0;0;0;0
Vassouras;2014;3;Interior;1;2;0;3
Volta Redonda;2014;3;Interior;2;20;33;8
Angra dos Reis;2014;4;Interior;6;12;21;12
Aperibé;2014;4;Interior;0;0;0;0
Araruama;2014;4;Interior;3;12;2;2
Areal;2014;4;Interior;0;0;0;0
Armação dos Búzios;2014;4;Interior;1;3;3;5
